symbol,check_id,status,severity,metric_name,metric_value,expected,details,source_path,evaluated_at_utc
USDCAD,JFOREX_OUTCOME_PARITY_PASS,fail,critical,jforex_outcome_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDCAD,LOCAL_JFOREX_SURROGATE_PASS,fail,critical,local_jforex_surrogate_pass,0,1,"historical_deployable=unknown local surrogate verdict=NO_GO, reason=no_gate_states",data/analysis/backtest_reconcile/local_jforex_surrogate_summary.csv,2026-04-04T23:01:41Z
USDCAD,THRESHOLD_PARITY_PASS,skip,critical,threshold_parity_pass,0,1,no threshold JSON for USDCAD 2026-02,models/oco_dukascopy_candidate,2026-04-04T23:01:41Z
USDCHF,STAGE13_DUKASCOPY_TESTCLIENT_PASS,fail,critical,stage13_dukascopy_testclient_pass,0,1,,data/analysis/backtest_reconcile/stage13_dukascopy_testclient_summary.csv,2026-04-04T23:01:41Z
USDCHF,JFOREX_SIGNAL_PARITY_PASS,fail,critical,jforex_signal_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDCHF,JFOREX_EXECUTION_PARITY_PASS,fail,critical,jforex_execution_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDCHF,EXECUTION_LIFECYCLE_PASS,fail,critical,execution_lifecycle_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDCHF,OPERATIONAL_READY_PASS,fail,high,operational_ready_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDCHF,JFOREX_OUTCOME_PARITY_PASS,fail,critical,jforex_outcome_parity_pass,0,1,missing deterministic execution artifact: USDCHF_jforex_runtime_events.csv,data/analysis/backtest_reconcile/USDCHF_jforex_runtime_events.csv,2026-04-04T23:01:41Z
USDCHF,LOCAL_JFOREX_SURROGATE_PASS,fail,critical,local_jforex_surrogate_pass,0,1,missing deterministic execution artifact: USDCHF_local_jforex_runtime_events.csv,data/analysis/backtest_reconcile/USDCHF_local_jforex_runtime_events.csv,2026-04-04T23:01:41Z
USDCHF,THRESHOLD_PARITY_PASS,skip,critical,threshold_parity_pass,0,1,no threshold JSON for USDCHF 2026-02,models/oco_dukascopy_candidate,2026-04-04T23:01:41Z
USDJPY,STAGE13_DUKASCOPY_TESTCLIENT_PASS,fail,critical,stage13_dukascopy_testclient_pass,0,1,,data/analysis/backtest_reconcile/stage13_dukascopy_testclient_summary.csv,2026-04-04T23:01:41Z
USDJPY,JFOREX_SIGNAL_PARITY_PASS,fail,critical,jforex_signal_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDJPY,JFOREX_EXECUTION_PARITY_PASS,fail,critical,jforex_execution_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDJPY,EXECUTION_LIFECYCLE_PASS,fail,critical,execution_lifecycle_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDJPY,OPERATIONAL_READY_PASS,fail,high,operational_ready_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
USDJPY,JFOREX_OUTCOME_PARITY_PASS,fail,critical,jforex_outcome_parity_pass,0,1,missing deterministic execution artifact: USDJPY_jforex_runtime_events.csv,data/analysis/backtest_reconcile/USDJPY_jforex_runtime_events.csv,2026-04-04T23:01:41Z
USDJPY,LOCAL_JFOREX_SURROGATE_PASS,fail,critical,local_jforex_surrogate_pass,0,1,missing deterministic execution artifact: USDJPY_local_jforex_runtime_events.csv,data/analysis/backtest_reconcile/USDJPY_local_jforex_runtime_events.csv,2026-04-04T23:01:41Z
USDJPY,THRESHOLD_PARITY_PASS,skip,critical,threshold_parity_pass,0,1,no threshold JSON for USDJPY 2026-02,models/oco_dukascopy_candidate,2026-04-04T23:01:41Z
