symbol,check_id,status,severity,metric_name,metric_value,expected,details,source_path,evaluated_at_utc
AUDUSD,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/AUDUSD_jforex_runtime_events.csv,2026-03-27T15:10:53Z
AUDUSD,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,,data/analysis/backtest_reconcile/AUDUSD_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
AUDUSD,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/AUDUSD_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
EURUSD,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/EURUSD_jforex_runtime_events.csv,2026-03-27T15:10:53Z
EURUSD,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,,data/analysis/backtest_reconcile/EURUSD_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
EURUSD,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/EURUSD_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
GBPUSD,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/GBPUSD_jforex_runtime_events.csv,2026-03-27T15:10:53Z
GBPUSD,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,,data/analysis/backtest_reconcile/GBPUSD_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
GBPUSD,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/GBPUSD_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
USDCAD,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/USDCAD_jforex_runtime_events.csv,2026-03-27T15:10:53Z
USDCAD,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,non-deployable historical month: no_gate_states,data/analysis/backtest_reconcile/USDCAD_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
USDCAD,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/USDCAD_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
USDCHF,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/USDCHF_jforex_runtime_events.csv,2026-03-27T15:10:53Z
USDCHF,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,,data/analysis/backtest_reconcile/USDCHF_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
USDCHF,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/USDCHF_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
USDJPY,DUKASCOPY_RUNTIME_ARTIFACTS_COMPLETE_PASS,pass,critical,dukascopy_runtime_artifacts_complete_pass,1,1,,data/analysis/backtest_reconcile/USDJPY_jforex_runtime_events.csv,2026-03-27T15:10:53Z
USDJPY,DUKASCOPY_SIGNAL_PATH_EXERCISED_PASS,pass,critical,dukascopy_signal_path_exercised_pass,1,1,,data/analysis/backtest_reconcile/USDJPY_local_jforex_signal_parity_summary.csv,2026-03-27T15:10:53Z
USDJPY,DUKASCOPY_OPERATIONAL_READY_PASS,pass,critical,dukascopy_operational_ready_pass,1,1,,data/analysis/backtest_reconcile/USDJPY_local_jforex_operational_ready_summary.csv,2026-03-27T15:10:53Z
