feature,importance
cost_est_pips,13.06792566157023
tick_rate_z,10.07191279328583
spread_z,8.898536421365657
hour_utc,8.767773590905373
range_pips,8.70260672634494
hl_pos_frac_mean_24,8.68111835779049
ret_abs_z,8.00001819722733
vel_abs_cost_units_h1,6.959797577450879
vel_cost_units_h1,5.350588770505335
hl_first_mean_24,5.26221341180285
ret_z,5.216789761704556
ret1_pips,4.999783358397921
barrier_pips,3.0471053114911193
horizon,1.4662494757684579
bar_ticks,1.4192992753465217
hl_first,0.08828130904250427
