feature,importance
cost_est_pips,14.111809995285897
tick_rate_z,10.283421021509504
spread_z,9.82940800641969
range_pips,8.826441868741547
hour_utc,8.685868128401312
hl_pos_frac_mean_24,8.511236694332045
hl_first_mean_24,7.5857151681773
vel_cost_units_h1,6.7768986875083534
ret_abs_z,5.739835187502141
ret_z,5.560496863319342
ret1_pips,4.933807120249796
vel_abs_cost_units_h1,4.510550858539521
barrier_pips,2.460650434242576
horizon,1.2147675502444937
bar_ticks,0.6433283678588331
hl_first,0.32576404766763367
