feature,importance
cost_est_pips,14.728975405399371
tick_rate_z,10.509355640048184
hour_utc,10.195022727419012
hl_pos_frac_mean_24,9.739019516131675
spread_z,9.224983097377509
range_pips,7.716292475005367
hl_first_mean_24,6.884524917779091
ret_abs_z,6.3249062325152385
ret_z,6.285081696874082
vel_cost_units_h1,5.148469882654723
ret1_pips,4.673085062235963
vel_abs_cost_units_h1,4.521600805801024
barrier_pips,2.298824736528027
horizon,1.20580834509943
bar_ticks,0.45058318169762385
hl_first,0.09346627743364946
