feature,importance
hl_pos_frac_mean_24,10.959285158344649
cost_est_pips,10.81301935945851
spread_z,10.187578111987985
tick_rate_z,9.884338436284315
hour_utc,8.853004092404191
range_pips,8.352687482329998
ret1_pips,6.943839866278165
ret_abs_z,6.741803447615436
ret_z,5.6237861067003605
hl_first_mean_24,5.428138406779209
vel_abs_cost_units_h1,4.945412362077636
vel_cost_units_h1,4.4082790383737835
barrier_pips,3.4887806363899734
horizon,1.8164064709559842
bar_ticks,1.4276843034768019
hl_first,0.1259567205430104
