feature,importance
cost_est_pips,12.118240032624545
spread_z,10.3312826917036
tick_rate_z,9.955224178000266
hl_pos_frac_mean_24,9.761064051008876
hour_utc,8.91771909935489
ret_abs_z,7.20288655626072
ret_z,6.857968931276714
vel_abs_cost_units_h1,6.655807445285623
range_pips,6.162440248736922
vel_cost_units_h1,5.790821365185885
hl_first_mean_24,5.780609993625859
ret1_pips,4.689550559202775
barrier_pips,3.010103807311246
horizon,1.4312270376808218
bar_ticks,1.0663601087343104
hl_first,0.2686938940069418
