feature,importance
cost_est_pips,13.587444682216184
hl_pos_frac_mean_24,10.550692234876148
spread_z,9.829764030916476
tick_rate_z,9.493400992053722
hour_utc,9.373579259101389
ret_z,7.648398783058156
ret_abs_z,7.03403019919564
range_pips,6.867473523976593
vel_abs_cost_units_h1,5.967029636284661
ret1_pips,5.293058986597763
vel_cost_units_h1,4.994759009086675
hl_first_mean_24,4.121742909707803
barrier_pips,2.4432361011709873
horizon,1.5578970495613822
bar_ticks,1.1653398055470938
hl_first,0.07215279664932271
