feature,importance
cost_est_pips,15.258184062719183
hour_utc,10.897750113006516
tick_rate_z,10.200353550950336
spread_z,10.031527307977987
hl_pos_frac_mean_24,9.927290672569452
range_pips,7.327886081849692
ret_z,6.639575578253722
hl_first_mean_24,5.9531171482706595
ret_abs_z,5.690520149767672
vel_abs_cost_units_h1,5.219387631262317
ret1_pips,4.386900436390696
vel_cost_units_h1,3.990132559222182
barrier_pips,2.6789924020524496
horizon,1.4125943440948692
bar_ticks,0.38578796161227275
hl_first,0.0
