feature,importance
cost_est_pips,14.505505291815615
hour_utc,11.488880534105677
tick_rate_z,10.433867059367685
spread_z,10.283262077168736
hl_pos_frac_mean_24,7.864208676086573
range_pips,7.526066301829841
ret_abs_z,6.756313744182462
vel_cost_units_h1,6.553359981364718
ret_z,5.548717768411361
hl_first_mean_24,5.313218424389204
vel_abs_cost_units_h1,5.2935007996360355
ret1_pips,4.218387325910306
barrier_pips,2.489009072530699
horizon,0.7925946760384239
bar_ticks,0.6165786061843974
hl_first,0.3165296609782709
