feature,importance
cost_est_pips,11.876924490650643
tick_rate_z,10.322899444724424
spread_z,10.288454363416289
hour_utc,8.471478033855432
ret_abs_z,8.46666559939758
range_pips,8.321437594142838
hl_pos_frac_mean_24,8.208681616424235
ret1_pips,6.360117945915008
ret_z,5.600171786435926
hl_first_mean_24,5.315913163384447
vel_abs_cost_units_h1,4.840318741150146
vel_cost_units_h1,4.33440296852109
barrier_pips,3.869680383598992
horizon,2.0113011589882435
bar_ticks,1.5408419494360819
hl_first,0.17071075995861903
