feature,importance
cost_est_pips,16.156801584693778
spread_z,10.386479680612949
hour_utc,10.05051464226697
hl_pos_frac_mean_24,9.638260406925472
tick_rate_z,8.597414639325827
range_pips,7.313622642598422
ret_z,6.621562067622023
hl_first_mean_24,5.8066184822598625
ret_abs_z,5.22253364287704
ret1_pips,4.9736315331084695
vel_abs_cost_units_h1,4.728235510422687
vel_cost_units_h1,4.517569976793895
barrier_pips,2.9388885263362274
horizon,1.6144794296292313
bar_ticks,1.1365370419527419
hl_first,0.2968501925744033
