feature,importance
cost_est_pips,11.889176355593799
spread_z,10.29960955691594
hl_pos_frac_mean_24,10.278454095473762
hour_utc,9.231690184496763
tick_rate_z,9.031117012219607
range_pips,7.762713313683
ret_z,6.945800141161548
hl_first_mean_24,6.422149501783957
ret_abs_z,6.380887417303153
vel_abs_cost_units_h1,5.800345178876846
ret1_pips,4.943602865236373
vel_cost_units_h1,4.525996532960186
barrier_pips,3.404933282354443
horizon,1.6156944508428892
bar_ticks,1.4184507603035075
hl_first,0.04937935079419113
