feature,importance
cost_est_pips,11.813510213007092
spread_z,9.775463863796464
tick_rate_z,9.276755632651579
hl_pos_frac_mean_24,8.900860305426036
hour_utc,8.895459363791948
range_pips,8.209374637342961
ret_abs_z,7.7773780298364485
ret_z,6.691366829521909
ret1_pips,6.361279782866831
hl_first_mean_24,6.349867891061933
vel_abs_cost_units_h1,4.7962029221534515
vel_cost_units_h1,4.337519308049256
barrier_pips,3.434098325198693
horizon,1.7088674775894197
bar_ticks,1.5477665681675348
hl_first,0.1242288495384574
