year_month,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
2018-01,1,100.0,29.04,29.04,0.0,0.0,0.0,0.0,baseline,MOM
2018-02,156,53.205128205128204,28.75826923076923,4486.29,-2810.51,4.284717683158854,4.85966491112116,7.640347525910161,baseline,MOM
2018-03,203,38.91625615763547,-34.56945812807882,-7017.6,-9391.08,-6.4395806806641165,-6.5610100453717,-9.85834358398317,baseline,MOM
2018-04,219,70.31963470319634,130.7540182648402,28635.13,-1827.66,13.316564123101614,14.170512197371139,23.050083963527385,baseline,MOM
2018-05,225,52.888888888888886,18.828577777777777,4236.43,-1746.51,2.977600539337733,3.1335660075733016,4.725259604681665,baseline,MOM
2018-06,176,54.54545454545454,34.73488636363636,6113.34,-2647.1200000000003,4.664190102867882,4.837399454487177,8.721226052379883,baseline,MOM
2018-07,201,38.80597014925373,-15.101592039800993,-3035.4199999999996,-4641.07,-3.490213846233236,-3.548891373016326,-5.49162523828295,baseline,MOM
2018-08,204,18.137254901960784,-89.74328431372548,-18307.629999999997,-18111.13,-14.796590372826643,-15.776934300932728,-29.893630477597437,baseline,MOM
2018-09,214,29.906542056074763,-45.89140186915887,-9820.759999999998,-10030.8,-7.332430550351976,-7.640902100517311,-15.684848638319894,baseline,MOM
2018-10,235,44.680851063829785,-3.8668936170212755,-908.7199999999998,-7166.709999999999,-0.5127474754246686,-0.5481030153062078,-1.117825329212928,baseline,MOM
2018-11,186,37.634408602150536,-10.709354838709677,-1991.94,-3655.76,-2.331040382559057,-2.4554654007887,-2.357444414210039,baseline,MOM
2018-12,209,44.01913875598086,-11.741387559808611,-2453.95,-12335.510000000004,-0.9149395290782019,-0.9149395290782019,-2.1115695123369633,baseline,MOM
2019-01,167,38.32335329341318,-28.209940119760475,-4711.0599999999995,-8015.470000000002,-3.916032821222922,-4.052958612278434,-5.9192717368414005,baseline,MOM
2019-02,148,43.91891891891892,-11.010270270270274,-1629.5200000000004,-5184.67,-1.6870338083944152,-1.717184902054272,-3.3307593393926713,baseline,MOM
2019-03,221,33.4841628959276,-38.52787330316742,-8514.66,-10308.879999999997,-6.275947654054441,-6.393377193177438,-13.078148803043327,baseline,MOM
2019-04,158,43.67088607594937,-11.921898734177216,-1883.66,-4030.32,-2.3570689289796047,-2.396880589852535,-4.734362996913648,baseline,MOM
2019-05,239,58.15899581589959,45.03891213389121,10764.3,-4345.4000000000015,5.610014638235746,5.819522946982069,11.387831090769664,baseline,MOM
2019-06,206,44.66019417475729,8.41364077669903,1733.21,-5085.19,1.3853466246687058,1.4326060811175898,2.428046830011989,baseline,MOM
2019-07,165,33.939393939393945,-38.38606060606061,-6333.700000000001,-7249.070000000001,-6.072490217075847,-6.072490217075847,-12.782781812011608,baseline,MOM
2019-08,190,51.05263157894737,30.858315789473682,5863.08,-2710.230000000003,4.019545481500876,4.236905198634817,7.926862188180143,baseline,MOM
2019-09,240,52.5,25.371583333333334,6089.18,-2800.359999999994,4.344178298444215,4.344178298444215,6.998587772064717,baseline,MOM
2019-10,189,28.04232804232804,-44.03597883597883,-8322.8,-8946.530000000002,-7.092968096378431,-7.231114074316755,-12.5956587866745,baseline,MOM
2019-11,234,25.213675213675213,-47.134401709401715,-11029.45,-11459.78,-12.838669028593024,-13.605777813500731,-20.810346801250468,baseline,MOM
2019-12,177,60.451977401129945,47.717344632768366,8445.970000000001,-2102.7399999999993,5.284528559110367,5.8162001430562045,12.256627851734908,baseline,MOM
2020-01,196,43.87755102040816,16.02765306122449,3141.42,-2781.849999999998,2.5236462707237006,2.6543723556644876,4.294047580169156,baseline,MOM
2020-02,233,44.63519313304721,-5.806695278969957,-1352.96,-8998.29,-0.880889500571727,-0.8959607839516424,-1.4214280085859807,baseline,MOM
2020-03,256,64.0625,140.1749609375,35884.79,-2998.09,9.40386617694057,9.619336926205914,15.258470461333362,baseline,MOM
2020-04,123,50.40650406504065,-34.827886178861796,-4283.830000000001,-5837.259999999999,-3.69959979048011,-4.07555054141049,-6.835832452137686,baseline,MOM
2020-05,129,42.63565891472868,44.77658914728682,5776.18,-6293.99,1.7980041836450074,1.9594884017022491,4.692471837997566,baseline,MOM
2020-06,242,47.5206611570248,1.4320661157024734,346.5599999999986,-9793.130000000003,0.1565786106382384,0.16187511974648147,0.2811546626771165,baseline,MOM
2020-07,209,36.36363636363637,70.30684210526316,14694.130000000001,-5240.330000000007,3.2539159429223816,3.4256557437004167,6.868302768479314,baseline,MOM
2020-08,182,47.8021978021978,26.41505494505495,4807.540000000001,-6073.59,2.662387315069958,2.662387315069958,4.632984912633411,baseline,MOM
2020-09,193,49.740932642487046,3.857357512953367,744.4699999999998,-4639.67,0.49271100889981456,0.5093940060679562,0.7830412745757296,baseline,MOM
2020-10,153,30.718954248366014,-70.77313725490195,-10828.289999999999,-10568.929999999995,-8.046340259119145,-8.38673868040318,-17.305286090987146,baseline,MOM
2020-11,171,43.27485380116959,30.174152046783625,5159.78,-2475.7199999999993,3.3390429817395924,3.398760034109495,4.911884523612276,baseline,MOM
2020-12,145,49.6551724137931,5.22558620689655,757.7099999999998,-2145.54,0.666403141492034,0.700010129350682,1.1697157732752017,baseline,MOM
2021-01,181,40.88397790055249,7.579558011049724,1371.9,-2305.7599999999998,1.3023347108729983,1.3683884581183012,2.140266846287335,baseline,MOM
2021-02,186,36.55913978494624,-15.193978494623654,-2826.0799999999995,-6520.220000000002,-2.2976736891087026,-2.3830017191905277,-3.7305479773800894,baseline,MOM
2021-03,202,58.91089108910891,54.98970297029703,11107.92,-4580.889999999996,6.177392371001935,6.292447197668958,8.069441462842036,baseline,MOM
2021-04,183,38.79781420765027,7.072950819672132,1294.3500000000001,-4688.419999999999,0.7818851746130876,0.8378103989074984,1.4185676840997175,baseline,MOM
2021-05,205,45.85365853658537,13.459902439024384,2759.279999999999,-3883.4400000000005,1.920399353422554,1.9864269698142063,3.7434264927847787,baseline,MOM
2021-06,212,54.24528301886793,56.31103773584907,11937.940000000002,-4598.949999999999,6.4983579605831165,6.760134063241099,10.589593059220153,baseline,MOM
2021-07,220,41.36363636363637,5.205727272727275,1145.2600000000004,-3005.3500000000013,1.045318156924609,1.0620861338148286,1.2746470964745444,baseline,MOM
2021-08,156,21.794871794871796,-79.18557692307692,-12352.95,-12650.419999999995,-10.26984370135476,-11.534307154421825,-26.537054973551626,baseline,MOM
2021-09,192,40.625,-36.76182291666667,-7058.2699999999995,-8805.939999999999,-5.21900413947716,-5.315324477710739,-9.438624969229343,baseline,MOM
2021-10,240,69.58333333333333,59.795208333333335,14350.85,-3423.1399999999994,5.330987611648091,5.426647760836018,14.553088702189898,baseline,MOM
2021-11,240,51.24999999999999,13.460708333333333,3230.5699999999997,-3709.4799999999996,2.4301905151560974,2.4301905151560974,3.7629600206167066,baseline,MOM
2021-12,163,44.171779141104295,-24.671901840490804,-4021.5200000000013,-4884.820000000001,-3.2093687014945513,-3.378542646530254,-5.5315659379824,baseline,MOM
2022-01,268,36.940298507462686,-54.08410447761194,-14494.539999999999,-20919.210000000006,-7.465615484526342,-7.465615484526342,-13.20337797109434,baseline,MOM
2022-02,151,41.72185430463576,76.9805298013245,11624.06,-2489.2299999999996,5.897343654748216,6.427288589462369,8.09812348871533,baseline,MOM
2022-03,241,48.96265560165975,3.5424066390041506,853.7200000000003,-13536.409999999996,0.2436113953366846,0.2603930594847193,0.6323006923769485,baseline,MOM
2022-04,176,40.909090909090914,-19.89829545454546,-3502.1000000000004,-13409.370000000006,-1.771188520364564,-1.8319378399392652,-2.640743946855949,baseline,MOM
2022-05,193,60.10362694300518,44.4721243523316,8583.119999999999,-3321.4300000000003,3.4011663608344476,3.5182078186861414,6.660482520706375,baseline,MOM
2022-06,215,37.2093023255814,-23.91153488372093,-5140.98,-13918.969999999998,-2.2966982915042418,-2.335443796333671,-4.2753953124628765,baseline,MOM
2022-07,174,44.252873563218394,28.704310344827586,4994.55,-9371.44,2.1348700866651926,2.206142672184642,4.080819100611377,baseline,MOM
2022-08,148,48.64864864864865,44.87148648648648,6640.98,-2728.2899999999995,4.273689373569455,4.59356351262102,7.390053475560506,baseline,MOM
