session,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant
Asia,22145,45.83878979453601,5.190565816211334,114945.08,-15527.460000000043,1.1102016273028805,1.1304956656902283,1.5536783490617223,baseline
Late,8174,46.354294103254226,4.9949412772204544,40828.649999999994,-12921.670000000006,0.8983717634577544,0.9665913818616311,1.1826642642015008,baseline
London,22229,46.110936164469834,5.91163795042512,131409.8,-13282.97000000003,1.003907546400606,1.0202357518058554,1.5296212290641347,baseline
New_York,21081,45.3820976234524,3.741648403775912,78877.69,-12028.319999999934,0.8667286799629003,0.8806542824063275,1.1648915721871584,baseline
Asia,8205,58.42778793418647,32.71774040219378,268449.06,-2079.050000000134,4.432817999371235,4.963305558560892,7.413450377085282,loss_streak_3_14d
Late,2939,61.10922082340933,35.26292956788023,103637.75,-1215.6699999999983,3.6683746488993445,5.031510843970027,6.181401003700269,loss_streak_3_14d
London,8327,56.88723429806654,27.383205235979343,228019.94999999998,-2815.409999999989,3.804865263254873,4.21755024858542,6.272289218885967,loss_streak_3_14d
New_York,7619,57.12035700223126,24.04097125607035,183168.16,-2025.2200000000157,3.621094206281259,4.0687872025258685,6.067824598885155,loss_streak_3_14d
