session,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
Asia,11386,44.30001756543123,2.884684700509397,32845.02,-17706.930000000008,0.38739398017999344,0.4058308422395932,0.5867123606254574,baseline,MOM
Late,4199,45.463205525125026,2.4158704453441304,10144.240000000003,-10539.710000000001,0.23941352424548798,0.28772618836785974,0.33647538709816016,baseline,MOM
London,11035,44.793837788853644,6.214786588128681,68580.17,-19791.79999999999,0.5520144286262508,0.5765466870849797,0.8216298891841982,baseline,MOM
New_York,9855,44.44444444444444,2.7501593099949266,27102.820000000003,-15417.95000000003,0.36397203952900475,0.3912862062644438,0.5885267341407692,baseline,MOM
Asia,6072,57.95454545454546,41.28337615283268,250672.66000000003,-4234.510000000031,3.7309426779986183,4.320658771755924,6.178962673995394,loss_streak_3_14d,MOM
Late,2226,59.65858041329739,39.26597035040432,87406.05,-2766.2599999999366,2.6559356054226564,3.882063155015162,4.541752259709631,loss_streak_3_14d,MOM
London,6044,56.22104566512244,41.491360026472535,250773.78,-3548.46000000005,2.2217819468692843,2.5380539586929975,3.6144440899706565,loss_streak_3_14d,MOM
New_York,5145,57.82312925170068,37.2414130223518,191607.07,-3091.4700000000157,3.158296950162036,3.8339495195750692,5.960274919229666,loss_streak_3_14d,MOM
Asia,11386,55.64728614087476,-2.884684700509397,-32845.02,-58507.26000000009,-0.38739398017999344,-0.4058308422395932,-0.5867123606254574,baseline,REV
Late,4199,54.46534889259348,-2.4158704453441304,-10144.240000000003,-25130.95,-0.23941352424548798,-0.28772618836785974,-0.33647538709816016,baseline,REV
London,11035,55.16085183507023,-6.214786588128681,-68580.17,-99737.76999999992,-0.5520144286262508,-0.5765466870849797,-0.8216298891841982,baseline,REV
New_York,9855,55.504819888381526,-2.7501593099949266,-27102.820000000003,-53736.089999999975,-0.36397203952900475,-0.3912862062644438,-0.5885267341407692,baseline,REV
Asia,6362,67.30587865451116,29.457892172272867,187411.11,-6860.649999999936,3.6117739462113105,4.098374613809415,5.198972539204916,loss_streak_3_14d,REV
Late,2242,66.41391614629795,26.156008028545944,58641.770000000004,-4423.380000000001,1.961288956837046,2.846316746027858,3.0944449839955093,loss_streak_3_14d,REV
London,6264,64.46360153256705,16.912897509578546,105942.39,-29378.71999999993,0.9879106474690196,1.1196137945240678,1.551100295031028,loss_streak_3_14d,REV
New_York,5399,65.95665864048897,21.10890720503797,113966.98999999999,-9292.569999999992,2.616334492489314,3.1162369045918568,3.851307355240438,loss_streak_3_14d,REV
