variant,strategy_type,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade
baseline,MOM,18077,45.0351275100957,12.260586933672624,221634.63,-58060.89,1.0186348796024156,1.0595631452103405,1.5329213533047217
loss_streak_3_14d,MOM,12600,56.53174603174603,58.43304047619048,736256.31,-17799.0200000013,3.6945404713718784,4.001929859920642,5.60210201539065
baseline,REV,4341,48.42202257544345,-14.686777240267219,-63755.299999999996,-72672.65000000002,-0.8958618656320633,-1.1597500275366561,-1.6086858166048952
loss_streak_3_14d,REV,3711,50.66019940716788,-5.22802748585287,-19401.21,-34282.369999999995,-0.3202341894756715,-0.4261552651724867,-0.5575426019589642
