year_month,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
2018-01,160,40.625,-8.0826875,-1293.23,-2221.2200000000003,-2.7357065667044598,-2.7357065667044598,-4.054578837557409,baseline,MOM
2018-02,353,51.84135977337111,23.936175637393767,8449.47,-3248.529999999995,4.570755539021494,4.658859417863715,10.386219208687598,baseline,MOM
2018-03,406,37.93103448275862,-41.58758620689655,-16884.56,-17965.48,-9.276523127333096,-9.276523127333096,-18.350472489692,baseline,MOM
2018-04,393,57.50636132315522,32.466437659033076,12759.309999999998,-4841.1699999999955,6.14104616460413,6.14104616460413,12.611070469972024,baseline,MOM
2018-05,425,39.294117647058826,-19.34002352941176,-8219.509999999998,-9985.359999999999,-6.2342017418598346,-6.350622285154863,-12.878357615024344,baseline,MOM
2018-06,392,50.0,10.86951530612245,4260.85,-7751.449999999996,1.7076868775967227,1.736205676952573,5.04767341175689,baseline,MOM
2018-07,361,34.62603878116344,-22.92213296398892,-8274.89,-9144.420000000007,-8.36912773230137,-8.36912773230137,-15.143847052556833,baseline,MOM
2018-08,403,33.99503722084367,-23.085508684863523,-9303.46,-11693.189999999997,-3.998692081892515,-4.066978459215033,-12.466200539613373,baseline,MOM
2018-09,403,45.6575682382134,-9.635781637717121,-3883.2200000000003,-6429.7300000000005,-2.588035563221591,-2.6319612661309435,-5.711080523351318,baseline,MOM
2018-10,393,45.038167938931295,16.92178117048346,6650.259999999999,-5125.3200000000015,3.0036966994162557,3.05353454499001,7.405568531737784,baseline,MOM
2018-11,381,45.93175853018373,-2.8135170603674537,-1071.9499999999998,-4056.17,-0.7548282582847713,-0.7804238588997016,-1.585183139764589,baseline,MOM
2018-12,359,34.81894150417828,-18.196211699164348,-6532.4400000000005,-12608.339999999991,-3.017883683137768,-3.067974855595473,-6.069707682897281,baseline,MOM
2019-01,370,52.702702702702695,-0.2047837837837819,-75.7699999999993,-3780.259999999999,-0.047101580396289075,-0.0486427029666774,-0.1179032460322123,baseline,MOM
2019-02,356,32.58426966292135,-14.24991573033708,-5072.97,-6638.720000000001,-4.322193128689731,-4.404761520688371,-7.166268876415047,baseline,MOM
2019-03,419,37.47016706443914,-23.103866348448687,-9680.52,-10954.990000000007,-7.26099509109462,-7.403642545292465,-14.220847596086411,baseline,MOM
2019-04,343,39.35860058309038,-1.6670553935860064,-571.8000000000002,-4827.060000000002,-0.48061311541641727,-0.48061311541641727,-1.1247140827107405,baseline,MOM
2019-05,412,40.04854368932039,4.5333252427184485,1867.730000000001,-6535.370000000003,1.2132423544630848,1.2132423544630848,2.3884870164086367,baseline,MOM
2019-06,406,45.566502463054185,2.0979064039408857,851.7499999999995,-5901.760000000001,0.7281839537539792,0.7281839537539792,1.2952865991528086,baseline,MOM
2019-07,379,41.68865435356201,-7.840765171503959,-2971.6500000000005,-4492.119999999997,-2.6455429841122937,-2.6455429841122937,-5.905038484109995,baseline,MOM
2019-08,378,43.386243386243386,21.752328042328045,8222.380000000001,-7822.599999999994,2.6293080290384343,2.6293080290384343,5.985151114230879,baseline,MOM
2019-09,430,53.25581395348837,13.619627906976746,5856.4400000000005,-4408.43,2.7061754007615164,2.7522281990054136,7.499836448596459,baseline,MOM
2019-10,375,46.93333333333333,4.225626666666664,1584.6099999999992,-5612.6500000000015,0.9198900737450202,0.9198900737450202,2.4971288688459388,baseline,MOM
2019-11,416,41.82692307692308,-6.087716346153846,-2532.4900000000002,-3959.880000000001,-2.1072528661323506,-2.1072528661323506,-4.611652363724778,baseline,MOM
2019-12,369,43.90243902439025,20.441951219512195,7543.08,-2356.1700000000005,4.889556245600399,4.889556245600399,8.799959101451794,baseline,MOM
2020-01,447,45.63758389261745,-9.27525727069351,-4146.039999999999,-7012.679999999999,-3.3606432256399557,-3.3606432256399557,-5.801201694296268,baseline,MOM
2020-02,473,50.317124735729394,0.7977801268498951,377.35000000000036,-6793.52,0.14010894656500178,0.1424981829196496,0.26971167899413745,baseline,MOM
2020-03,496,59.87903225806451,120.09451612903226,59566.88,-4283.710000000014,10.000107963051768,10.000107963051768,20.77208457185315,baseline,MOM
2020-04,288,45.48611111111111,-51.80454861111111,-14919.71,-14812.56999999999,-5.264256366626391,-5.364941226224059,-11.451014228617108,baseline,MOM
