year_month,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant
2018-01,153,59.47712418300654,16.47947712418301,2521.3600000000006,-640.47,8.57138000820386,8.827564023262644,10.028448885883018,baseline
2018-02,161,37.267080745341616,-36.33919254658385,-5850.610000000001,-6577.5199999999995,-5.137148151338379,-5.582353835934223,-9.952886675301347,baseline
2018-03,181,43.646408839779006,-10.33486187845304,-1870.6100000000004,-4108.7699999999995,-2.4486286260390338,-2.5308913947318317,-4.289994501893544,baseline
2018-04,139,47.482014388489205,1.0372661870503586,144.17999999999984,-2110.6899999999996,0.247319964405327,0.26496375879163114,0.3828273475131797,baseline
2018-05,241,48.13278008298755,6.361784232365146,1533.19,-1779.87,3.0016189700720823,3.0514197363474893,4.128500850676579,baseline
2018-06,178,45.50561797752809,-7.119044943820225,-1267.19,-1851.0799999999995,-1.8728856298620502,-1.9372283742419762,-3.5266173009127186,baseline
2018-07,181,50.82872928176796,6.645524861878454,1202.8400000000001,-2016.7500000000005,1.776734449119475,1.8674492697872074,3.6135727421722352,baseline
2018-08,195,50.256410256410255,2.1734871794871786,423.82999999999987,-2367.080000000001,0.6698464158478324,0.7036277607779261,1.08162098552004,baseline
2018-09,193,48.18652849740933,-10.845025906735753,-2093.09,-3160.1100000000006,-3.3397967196163316,-3.45841827962463,-6.021531389432634,baseline
2018-10,182,47.8021978021978,-29.154890109890104,-5306.189999999999,-6704.210000000003,-5.115138034536622,-5.403720671204526,-9.78757581620198,baseline
2018-11,204,45.588235294117645,-1.0164705882352942,-207.36,-1843.92,-0.38355841163322807,-0.4035443292707635,-0.6918993061751157,baseline
2018-12,214,42.99065420560748,-28.494766355140186,-6097.88,-6653.909999999996,-4.766356685643676,-4.766356685643676,-9.875726485708103,baseline
2019-01,189,41.7989417989418,-14.142222222222223,-2672.88,-2824.7199999999993,-3.903277475066079,-3.9697294472719413,-6.87303887377731,baseline
2019-02,164,61.58536585365854,6.7025609756097575,1099.2200000000003,-924.3100000000001,2.912024823158055,3.0217015209395015,3.611918285027631,baseline
2019-03,223,48.87892376681614,1.7621076233183843,392.9499999999997,-2098.44,0.5398950686797576,0.5398950686797576,0.8821872357577473,baseline
2019-04,177,43.50282485875706,-3.00135593220339,-531.24,-1099.33,-1.5430585009847524,-1.75563845080004,-3.081332270974597,baseline
2019-05,192,45.3125,-6.477708333333333,-1243.72,-4058.5600000000004,-1.583823513529566,-1.6362247866812984,-3.542879368126871,baseline
2019-06,172,38.372093023255815,-6.757441860465118,-1162.2800000000002,-2742.4399999999996,-2.013367996937636,-2.1201676027097527,-3.3587921123816336,baseline
2019-07,228,57.01754385964912,2.27530701754386,518.7700000000001,-2579.2900000000004,0.8251634520810803,0.838376323783934,1.3162985760097325,baseline
2019-08,190,51.05263157894737,-3.130315789473682,-594.7599999999995,-2134.11,-0.7146709466898303,-0.7381074319550577,-0.9481435496228393,baseline
2019-09,188,40.42553191489361,-12.149999999999999,-2284.2,-2717.63,-6.455523974086741,-6.581419053552848,-8.060210538855813,baseline
2019-10,208,48.07692307692308,5.000721153846154,1040.15,-1142.52,1.8345613468640134,1.8642792517269513,3.477252939425097,baseline
2019-11,169,52.071005917159766,-1.7725443786982265,-299.5600000000003,-1732.3099999999995,-0.6260559773149473,-0.6367493239701654,-1.0005059609857883,baseline
2019-12,200,48.5,-6.864300000000001,-1372.8600000000001,-2269.6900000000005,-2.5024213241310322,-2.794701279387427,-4.770075697584333,baseline
2020-01,210,47.14285714285714,4.216142857142854,885.3899999999994,-2345.77,1.3614624308433454,1.3614624308433454,2.338432657765197,baseline
2020-02,247,47.77327935222672,-3.892226720647771,-961.3799999999995,-3562.02,-0.9846349400614658,-1.0379841967868892,-1.3777001789141459,baseline
2020-03,252,46.82539682539682,-30.06611111111111,-7576.66,-10901.749999999996,-3.620895002536718,-3.6820037826604284,-5.1586022448606785,baseline
2020-04,176,47.72727272727273,-8.491534090909092,-1494.5100000000002,-3213.9100000000003,-1.47123827450087,-1.6396111247583613,-2.6074896370274994,baseline
2020-05,197,52.28426395939086,6.045177664974617,1190.8999999999996,-2008.2999999999997,1.1624310515826368,1.1810985132181409,1.7878426426508525,baseline
2020-06,197,39.08629441624365,-7.526548223350249,-1482.729999999999,-4920.5,-1.1626430308020126,-1.1819285416142251,-2.003079376674808,baseline
2020-07,225,52.888888888888886,-3.633199999999997,-817.4699999999993,-3725.8199999999993,-0.7076335940886409,-0.7433291033165663,-1.2726856696513227,baseline
2020-08,168,64.28571428571429,44.0514880952381,7400.650000000001,-1523.4699999999993,7.588234886205593,7.911967550855222,10.939553794640227,baseline
2020-09,202,42.07920792079208,-25.41381188118812,-5133.59,-6404.310000000002,-7.109196463432392,-7.404721611186267,-10.75407742431236,baseline
2020-10,215,51.627906976744185,-1.1032093023255807,-237.18999999999983,-2621.1,-0.2642476030731562,-0.2684676367465873,-0.44691127005032844,baseline
2020-11,171,47.953216374269005,-6.759883040935671,-1155.9399999999998,-1859.5300000000002,-2.1708739883302313,-2.5279987196646956,-3.3112783148295546,baseline
2020-12,184,48.91304347826087,-0.5895652173913032,-108.47999999999979,-2235.8300000000004,-0.1756546176260886,-0.18140261780362799,-0.2347320639368395,baseline
2021-01,202,43.06930693069307,-12.093069306930694,-2442.8,-2644.5899999999992,-3.4435308344983504,-3.6262948910887527,-5.345623631602552,baseline
2021-02,197,40.10152284263959,-5.702487309644667,-1123.3899999999994,-2776.7400000000002,-1.4856408168795585,-1.5400626834530835,-2.340849876023532,baseline
2021-03,156,40.38461538461539,-5.443076923076923,-849.12,-1851.0899999999997,-1.90430384089575,-2.0017387651165146,-2.914921325564153,baseline
2021-04,172,51.74418604651163,5.813081395348838,999.85,-1050.51,2.0720490659867625,2.143481220228998,3.2439525971909426,baseline
2021-05,203,54.679802955665025,11.408768472906402,2315.9799999999996,-903.97,4.3858657553760105,4.466960949992644,6.44562747087244,baseline
2021-06,209,54.066985645933016,2.2878947368421065,478.17000000000024,-2644.5,0.7203676036824569,0.7865649262863788,1.3175062589232192,baseline
2021-07,182,49.45054945054945,5.6851098901098895,1034.6899999999998,-1099.1000000000001,1.5999740420549873,1.6529216866717686,2.782133194925881,baseline
2021-08,196,43.87755102040816,-11.002295918367349,-2156.4500000000003,-2837.2700000000004,-3.6718180863335794,-3.7992051351894935,-4.646094992266955,baseline
2021-09,215,48.372093023255815,-0.6770697674418602,-145.56999999999994,-3721.09,-0.15933682069723376,-0.16196463671023278,-0.262335354636243,baseline
2021-10,176,60.79545454545454,22.526079545454547,3964.59,-528.8899999999994,7.401919028501412,7.70401654802609,11.461498729307715,baseline
2021-11,223,38.56502242152467,-30.12103139013453,-6716.99,-6851.980000000001,-7.249047922625109,-7.249047922625109,-11.577591756745887,baseline
2021-12,148,56.08108108108109,-3.7037162162162183,-548.1500000000003,-2469.3599999999997,-0.6886063930283262,-0.723337881553564,-1.0586263134933904,baseline
2022-01,221,48.86877828054298,-4.2057013574660616,-929.4599999999996,-4355.200000000001,-0.845011094966728,-0.8736832048331782,-1.6125020081104668,baseline
2022-02,177,49.717514124293785,-4.958587570621468,-877.6699999999998,-2190.13,-1.2244276397689318,-1.2461829604593173,-1.558215573521062,baseline
2022-03,227,38.76651982378855,-56.462070484581496,-12816.89,-13459.84000000001,-6.165449480491523,-6.667483272343613,-14.85574506680299,baseline
2022-04,211,47.867298578199055,1.1134597156398094,234.93999999999977,-3215.9399999999996,0.3357381096397836,0.34127728191914525,0.3974058362399574,baseline
2022-05,168,44.047619047619044,5.283452380952378,887.6199999999994,-3446.219999999999,0.6696212620594167,0.6915743162745079,1.4753486658746287,baseline
2022-06,211,39.81042654028436,-39.863364928909945,-8411.169999999998,-12899.12,-3.65301711184463,-3.85498441299789,-10.208903772205387,baseline
2022-07,175,46.85714285714286,-7.143085714285715,-1250.0400000000002,-1659.3000000000006,-2.0709470651420685,-2.216457804036974,-2.9231318861981643,baseline
2022-08,151,46.35761589403973,5.260264900662252,794.3000000000001,-2513.4,1.0063861342875977,1.0572707263401193,1.9370446552963432,baseline
2022-09,209,45.933014354066984,13.440143540669855,2808.99,-1626.3600000000001,2.8288169361001563,2.981563347963833,4.876254144245132,baseline
2022-10,181,48.06629834254144,-9.885414364640884,-1789.26,-3317.240000000001,-1.8715480984543131,-1.933740876487688,-2.7331671338464183,baseline
2022-11,170,46.470588235294116,-19.521941176470584,-3318.729999999999,-6252.21,-3.4448854000788183,-3.640960148813618,-5.375029509126024,baseline
2022-12,190,53.1578947368421,7.333368421052632,1393.3400000000001,-1305.4199999999998,2.4576491279956705,2.4979171903051034,3.1640566729286412,baseline
2023-01,181,54.14364640883977,11.145359116022101,2017.3100000000004,-2392.84,2.27148940119091,2.57696548498775,4.1572683627770335,baseline
2023-02,163,49.079754601226995,4.322515337423314,704.5700000000002,-2478.09,1.0279872433466422,1.0279872433466422,1.7116591851494585,baseline
2023-03,129,45.73643410852713,-24.789069767441863,-3197.7900000000004,-4701.459999999999,-2.9664828423121343,-3.4456338200883088,-5.30803788577124,baseline
2023-04,103,54.36893203883495,17.21970873786408,1773.6300000000003,-697.1299999999999,3.9021082686224218,4.475852689861672,5.4073020824752485,baseline
2023-05,106,47.16981132075472,-18.1361320754717,-1922.43,-2959.1400000000003,-3.2591126906079255,-3.370813383280731,-4.693128979663397,baseline
2023-06,110,34.54545454545455,-14.686000000000002,-1615.4600000000003,-3322.91,-2.357274185487402,-2.5792349248421034,-4.090325749758072,baseline
2023-07,107,32.71028037383177,-62.19579439252336,-6654.95,-8104.059999999999,-4.505125677917358,-5.047249687645482,-11.52915978377871,baseline
2023-08,172,56.97674418604651,4.5993023255813945,791.0799999999998,-1384.14,1.375305463862353,1.4206838224945333,1.676896387472945,baseline
2023-09,190,53.1578947368421,3.610684210526317,686.0300000000002,-1943.8199999999997,0.9174770259609839,0.9326621399270898,1.4527623013621027,baseline
2023-10,212,45.28301886792453,-3.143018867924528,-666.3199999999999,-2557.09,-0.8140962406735482,-0.8408112923433274,-1.3813283804521748,baseline
2023-11,158,47.46835443037975,1.0953797468354427,173.06999999999994,-986.78,0.361576530713884,0.3738132270498775,0.5628653000103268,baseline
2023-12,178,47.752808988764045,-11.092471910112359,-1974.4599999999998,-3628.7199999999993,-2.1423087908133813,-2.2138396897843697,-3.780924546404486,baseline
2024-01,216,47.68518518518518,-1.6140277777777778,-348.63,-1595.67,-0.5304505356684442,-0.5392086059721876,-0.8588458125299828,baseline
2024-02,194,54.63917525773196,4.873556701030926,945.4699999999998,-1294.25,1.7954505964508651,1.8937441939459736,2.545199584272282,baseline
2024-03,226,43.36283185840708,-11.326592920353981,-2559.81,-3966.2500000000005,-2.644299283838124,-2.733521551414641,-4.46283571726979,baseline
2024-04,235,39.148936170212764,-19.29165957446808,-4533.539999999999,-4576.790000000004,-4.464901515620969,-4.544946769990315,-7.779076099261996,baseline
2024-05,194,51.546391752577314,11.547371134020619,2240.19,-1070.6599999999999,3.1391421778849087,3.4300675983153393,5.482832740892132,baseline
2024-06,180,60.0,12.375888888888888,2227.66,-1819.38,3.841005956983992,3.9795365686851167,5.797133241108967,baseline
