pair,trades,other_dominant_rate,ratio_other_mean,ratio_other_p50,ratio_other_p80,ratio_other_gt_0_6
AUD/CAD,3803,0.6160925585064423,0.5579715101554924,0.5727686945329288,0.7746430903632475,0.4575335261635551
AUD/NZD,3717,0.47861178369652946,0.4976787436408373,0.49119845156780234,0.6650336766551312,0.2900188323917137
CAC/NZD,2148,0.37243947858473,0.4259791387526877,0.3940475833257931,0.6786932038993069,0.2709497206703911
CHF/JPY,3812,0.46248688352570827,0.48196175866931446,0.4760330001550123,0.7149776259569552,0.32948583420776495
EUR/AUD,3709,0.43488811000269617,0.47040340560397353,0.45315052021946856,0.7268765802864872,0.32003235373416017
EUR/CHF,3934,0.4428063040162684,0.48120580774104615,0.47010105668869345,0.6959691417876959,0.3045246568378241
EUR/GBP,3568,0.42628923766816146,0.4673806455143573,0.45471003980119107,0.6898031215627158,0.297085201793722
EUR/JPY,3846,0.4466978679147166,0.4658656448334242,0.4574981776430668,0.7166424734423449,0.31877275091003643
GBP/AUD,3784,0.4489957716701903,0.472175022224465,0.46433827114617465,0.7096598446884365,0.3158033826638478
GBP/CAD,3746,0.5309663641217298,0.5245010120229641,0.5254216970267436,0.7731880149892643,0.40443139348638546
GBP/JPY,3830,0.4814621409921671,0.4903658021908631,0.48621533123599076,0.7487833779137331,0.3563968668407311
Gold/Oil,3217,0.7056263599626982,0.6271374384962135,0.6724414578002237,0.8700214027002511,0.5930991607087348
Gold/Silver,3531,0.6785613140753328,0.5952618519465981,0.6386794997809999,0.817192249054552,0.5556499575191164
NZD/CAD,3829,0.6179159049360147,0.5658390199311654,0.5847785165198232,0.7891816072721984,0.4802820579785845
Oil/Silver,3258,0.49969306322897483,0.5058993058188659,0.4999771525753508,0.7802809071786632,0.3766114180478821
SPX/CAC,2088,0.4794061302681992,0.4834948461119981,0.4906369180422443,0.6972879709252302,0.3218390804597701
SPX/DAX,2585,0.44680851063829785,0.47040562139515063,0.4697651007560308,0.6751099984470854,0.2978723404255319
SPX/Dow,3122,0.6985906470211403,0.6191677048672655,0.6507242680105545,0.8508380055120892,0.5650224215246636
SPX/FTSE,3299,0.4928766292816005,0.49288964101422367,0.4939517595486216,0.7261732379813398,0.34798423764777203
SPX/HK,1954,0.413510747185261,0.4548240712383088,0.43566725539453166,0.6987784846332048,0.3075742067553736
SPX/Nas,3401,0.6977359600117612,0.5676877807530458,0.5761535765172425,0.7122711026293465,0.42957953543075567
SPX/Nikkei,3448,0.48288863109048724,0.49408597827272743,0.48961927206732153,0.7255281774729871,0.3462877030162413
