variant,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade
baseline,73629,45.847424248597704,4.971698922978717,366061.22,-41530.61000000022,1.1125746077851513,1.1166308590535943,2.636732994035427
loss_streak_3_14d,27090,57.877445551864156,28.913802879291254,783274.92,-5717.730000000214,4.555276211884186,4.747210769221632,11.663182939762937
