session,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
Asia,6097,45.18615712645563,17.732625881581104,108115.81999999999,-19266.53000000005,0.8815725123777555,1.0283370597049968,1.1591909816667172,baseline,MOM
Late,1923,44.46177847113885,1.456349453978158,2800.559999999998,-9490.600000000004,0.0804597363101909,0.1214401626051868,0.1314267231261696,baseline,MOM
London,5889,45.016131771098664,10.66329937170997,62796.17000000001,-23167.929999999997,0.6591255680199974,0.7663271826795727,0.9829195242082853,baseline,MOM
New_York,4168,45.105566218809976,11.497619961612285,47922.08,-20994.46,0.6119820371220146,0.7913337759871544,0.9552320345741068,baseline,MOM
Asia,4247,57.00494466682364,67.32630798210502,285934.83,-7367.430000000168,2.4664341604573203,3.1440463019528937,3.4629399070061675,loss_streak_3_14d,MOM
Late,1307,57.53634276970161,48.55843152257077,63465.87,-2796.5,2.0771862654345585,3.6570833599695294,3.9489404136528656,loss_streak_3_14d,MOM
London,4163,55.3927456161422,53.22846264712948,221590.09000000003,-5816.609999999928,2.500017842173591,3.167330690523071,4.043338026202514,loss_streak_3_14d,MOM
New_York,2883,57.02393340270552,57.324148456468954,165265.52,-4487.339999999989,2.320118650604042,3.3788471894129017,3.9579061326862837,loss_streak_3_14d,MOM
Asia,1429,49.12526242127362,-10.515507347795662,-15026.660000000002,-22695.04,-0.43703608308841724,-0.7782152925152395,-0.9264234759192386,baseline,REV
Late,396,50.75757575757576,-14.402045454545453,-5703.209999999999,-10069.929999999997,-0.31051321592109105,-0.9066752872797851,-0.9756672452268562,baseline,REV
London,1640,47.256097560975604,-18.01414024390244,-29543.190000000002,-33645.370000000024,-0.7785036897984798,-1.3265059326221502,-1.6846771448140478,baseline,REV
New_York,876,48.401826484018265,-15.39068493150685,-13482.240000000002,-13954.03,-0.47809549409940594,-1.0321199324010435,-1.173775586089568,baseline,REV
Asia,1224,51.55228758169934,-1.6122140522875805,-1973.3499999999985,-12978.47,-0.06743072710665463,-0.12613201254886142,-0.1447120497607053,loss_streak_3_14d,REV
Late,333,52.552552552552555,-10.75246246246246,-3580.5699999999997,-8004.400000000001,-0.20569155770842573,-0.6492435492622676,-0.6991585930034885,loss_streak_3_14d,REV
London,1428,49.22969187675071,-8.11185574229692,-11583.73,-17815.010000000024,-0.35319199410342134,-0.6262093999600836,-0.7600999578293408,loss_streak_3_14d,REV
New_York,726,51.10192837465565,-3.1178512396694233,-2263.5600000000013,-6007.900000000001,-0.08972945489172841,-0.20559173061188907,-0.2322922940705146,loss_streak_3_14d,REV
