pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant
AUD/CAD,934,50.107066381156315,0.8441755888650961,788.4599999999998,-3069.8199999999997,0.09461287859781489,0.222440639735513,0.3624913886288136,baseline
AUD/NZD,885,48.13559322033898,-4.782666666666666,-4232.659999999999,-6712.790000000001,-0.33363077046165646,-0.8093652956369525,-1.2682410043970915,baseline
CAC/NZD,535,47.85046728971963,-15.453439252336448,-8267.59,-10564.739999999993,-0.46052365430234454,-1.322482657528092,-1.8088803223747543,baseline
CHF/JPY,964,47.82157676348548,-1.8019294605809133,-1737.0600000000004,-5359.990000000007,-0.14179868800057338,-0.33903532014803356,-0.5622151238403151,baseline
EUR/AUD,917,49.836423118865866,-3.1071755725190826,-2849.279999999999,-5789.059999999998,-0.2363337833591192,-0.5779261700092901,-0.9231580556168817,baseline
EUR/CHF,957,50.57471264367817,2.646091954022988,2532.3099999999995,-2229.9300000000003,0.2974454797658374,0.7099543856199326,1.0704833514289118,baseline
EUR/GBP,881,50.73779795686719,-1.71594778660613,-1511.7500000000005,-3179.4700000000003,-0.145234181330544,-0.35190640016619995,-0.5377185925664644,baseline
EUR/JPY,965,46.21761658031088,-3.2473160621761656,-3133.66,-7954.300000000006,-0.2711872167189455,-0.6500065811030783,-0.9951232864450607,baseline
GBP/AUD,895,47.93296089385475,-7.911821229050278,-7081.079999999999,-8954.02000000001,-0.5636323200852278,-1.3636657740036282,-2.126809019110054,baseline
GBP/CAD,885,49.37853107344633,-0.753175141242938,-666.5600000000002,-2248.6600000000008,-0.09122432417174281,-0.22089752510734256,-0.31657552718519083,baseline
GBP/JPY,983,47.20244150559512,0.9421464903357062,926.1299999999992,-4361.149999999999,0.09555261658195817,0.22714082604679042,0.3298479995287533,baseline
Gold/Oil,793,49.30643127364439,1.8118663303909204,1436.81,-3867.27,0.10210384104875399,0.25235166785780905,0.3375349064231316,baseline
Gold/Silver,934,43.683083511777305,-9.741017130620984,-9098.109999999999,-12936.809999999994,-0.41854633562605653,-1.0105545792773358,-1.5991259007651595,baseline
NZD/CAD,915,46.994535519125684,-2.2704808743169402,-2077.4900000000002,-2755.370000000002,-0.25700373709414726,-0.6110418813417868,-0.9751578715733495,baseline
Oil/Silver,793,45.39722572509458,-10.424527112232033,-8266.650000000001,-9463.97,-0.291042091778079,-0.7098399392676888,-1.017036702822371,baseline
SPX/CAC,526,48.28897338403042,-18.97671102661597,-9981.75,-13812.420000000002,-0.44925941731157637,-1.2956347815192937,-1.907418611611002,baseline
SPX/DAX,583,45.62607204116638,-19.76907375643225,-11525.37,-13006.810000000007,-0.5812993808962263,-1.6396463465288682,-2.158019789377375,baseline
SPX/Dow,722,52.49307479224377,3.8259141274238226,2762.31,-3239.51,0.3533717480914629,0.9283234106541868,1.2626451950029485,baseline
SPX/FTSE,836,50.0,-2.7804545454545453,-2324.46,-4839.12,-0.1469990731318366,-0.3539583334334014,-0.5036515575279147,baseline
SPX/HK,440,45.0,-20.190477272727275,-8883.810000000001,-12627.900000000001,-0.44535668302088083,-1.3514845861596592,-1.7210785451753978,baseline
SPX/Nas,865,50.63583815028901,9.004832369942196,7789.18,-7402.8699999999935,0.3662116538947226,0.8739579626452753,1.3493722863544544,baseline
SPX/Nikkei,844,47.03791469194313,-2.1335781990521325,-1800.7399999999998,-8269.579999999996,-0.08958645277492458,-0.21863028301394763,-0.31409541016000486,baseline
AUD/CAD,666,53.6036036036036,6.541741741741741,4356.799999999999,-1389.3499999999985,0.686139947245438,1.837527387116411,2.7396475405532326,loss_streak_3_14d
AUD/NZD,606,51.320132013201324,2.2000330033003306,1333.2200000000003,-1901.6899999999996,0.15762847155118023,0.4445388817133985,0.6249205960960686,loss_streak_3_14d
CAC/NZD,409,51.83374083129584,-1.0382885085574574,-424.6600000000001,-4924.229999999997,-0.03028873055605342,-0.09796914086842887,-0.12401510789018773,loss_streak_3_14d
CHF/JPY,674,52.37388724035609,5.080044510385757,3423.95,-2255.15,0.37589906899391556,1.0395387323222185,1.543035132664079,loss_streak_3_14d
EUR/AUD,617,54.29497568881686,2.0403727714748783,1258.9099999999999,-2149.540000000001,0.14363074722064728,0.41243865892136433,0.6082967501767398,loss_streak_3_14d
EUR/CHF,693,56.27705627705628,10.33891774891775,7164.87,-693.0700000000005,1.0318052702431122,2.847178853093748,4.093678929460728,loss_streak_3_14d
EUR/GBP,635,52.75590551181102,1.2904566929133856,819.4399999999998,-2189.3900000000003,0.09844086456403393,0.2740235204709269,0.39201211051711315,loss_streak_3_14d
EUR/JPY,602,46.84385382059801,0.5621428571428576,338.4100000000003,-3538.9799999999996,0.045664571401201406,0.1334366627109194,0.17659498052985828,loss_streak_3_14d
GBP/AUD,619,52.50403877221325,0.570371567043619,353.0600000000002,-3107.0099999999993,0.04396052003434815,0.1217868597100065,0.1604011102021527,loss_streak_3_14d
GBP/CAD,602,50.332225913621265,2.598073089700997,1564.0400000000004,-822.74,0.290261257765648,0.8149359490569116,1.0849371741593665,loss_streak_3_14d
GBP/JPY,642,51.4018691588785,5.685202492211838,3649.9,-1810.3900000000003,0.4964936679044102,1.4230357715565405,1.9235431224976882,loss_streak_3_14d
Gold/Oil,567,51.85185185185185,4.2538447971781315,2411.9300000000007,-3113.580000000001,0.21321975598138468,0.6025194327785705,0.7761479321398445,loss_streak_3_14d
Gold/Silver,595,46.72268907563025,3.0623193277310907,1822.079999999999,-5807.07,0.11515116300532462,0.3346922938647126,0.48456864197872096,loss_streak_3_14d
NZD/CAD,610,49.67213114754098,2.0831475409836067,1270.72,-915.2399999999996,0.25450158069946627,0.70765268498715,0.9559811250702501,loss_streak_3_14d
Oil/Silver,567,47.61904761904761,-6.429611992945327,-3645.5900000000006,-7116.279999999999,-0.17519869124238413,-0.48905003723147483,-0.6416422398590025,loss_streak_3_14d
SPX/CAC,398,47.98994974874372,-11.218668341708542,-4465.03,-6839.470000000004,-0.2609529773418574,-0.8460843559425636,-1.1394420523586686,loss_streak_3_14d
SPX/DAX,432,47.68518518518518,-13.272986111111114,-5733.930000000001,-7328.8200000000015,-0.3633449372271229,-1.171268703902051,-1.527029397499954,loss_streak_3_14d
SPX/Dow,545,56.330275229357795,8.618201834862386,4696.920000000001,-1911.4399999999994,0.7056016706324584,2.1069270773883337,2.7990106688030236,loss_streak_3_14d
