variant,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade
baseline,18052,48.271659649900286,-3.7227354309771776,-67202.82,-81816.07,-0.7942692027717481,-0.8283717484564451,-1.3686738719524005
loss_streak_3_14d,12666,51.350071056371384,2.258361755881888,28604.409999999996,-14312.600000000004,0.45037508298744555,0.483343693973411,0.7289098358789291
