pair,trades,delta_mean,delta_median,delta_p80,delta_gt_5,delta_gt_10,delta_gt_20
AUD/CAD,11570,8.11967359945631,5.6398232371446255,13.163778545553953,0.5419187554019015,0.28928262748487465,0.09464131374243734
AUD/NZD,11337,10.615451275467526,7.0931742032065435,17.760679574360672,0.6086266207991532,0.4017817764840787,0.16097733086354415
CAC/NZD,6694,20.171763735754283,13.542875906420448,32.55614930593121,0.737974305348073,0.5858978189423364,0.3840752913056468
CHF/JPY,11609,8.838415547166909,5.639554819119041,13.735883437115959,0.5363941769316909,0.3073477474373331,0.10095615470755448
EUR/AUD,11330,9.415856957323086,6.209875728081792,15.675864514634656,0.5541924095322154,0.34889673433362756,0.13601059135039717
EUR/CHF,11661,9.042959244233641,6.561410938704249,15.378421982847197,0.586913643769831,0.34705428350913303,0.12571820598576453
EUR/GBP,10582,9.163399301472847,6.155643261778753,16.036243861948243,0.5612360612360613,0.33878283878283877,0.13315063315063316
EUR/JPY,11566,9.302526685055225,6.032790719840975,14.599682758422716,0.5555939823620958,0.31998962476223414,0.11888293273387515
GBP/AUD,11451,9.993671780396937,6.846137144492225,16.057166952117004,0.595755829185224,0.3649462929001834,0.14444153349052485
GBP/CAD,11387,7.8486213341838456,5.506146674429113,12.967517553282748,0.525511548256784,0.2805831211030122,0.10187055414068674
GBP/JPY,11600,9.108270243974442,5.830095883840869,14.625708591298192,0.5481896551724138,0.32051724137931037,0.11206896551724138
Gold/Oil,9578,16.899382671253576,11.243523758048823,26.410253749409307,0.7138233451660054,0.537481728962205,0.2995406139068699
Gold/Silver,10807,17.197339385068943,10.654940277481373,28.574053609109047,0.661978347367447,0.5147589525307671,0.30415471453687426
NZD/CAD,11659,7.6746942753057645,5.16230918512494,12.770722229663022,0.5126511707693627,0.2736941418646539,0.09005918174800583
Oil/Silver,9720,34.63178645193718,21.845786946521628,56.08466507541543,0.795164609053498,0.7022633744855967,0.5303497942386831
SPX/CAC,6418,21.683626549282028,13.785604449605415,36.95011812853366,0.724836397631661,0.5881894671237146,0.3758180118416952
SPX/DAX,7907,35.68803425792466,12.52016591367422,33.714834528808524,0.70633615783483,0.5530542557227773,0.3510813203490578
SPX/Dow,9285,8.475499580716226,5.532450825995738,14.11533896374273,0.5329025309639203,0.2959612277867528,0.10102315562735595
SPX/FTSE,9758,17.578013204202783,11.463388464560964,26.66483813259291,0.6819020291043246,0.5378151260504201,0.296987087517934
SPX/HK,5853,27.330424677374282,16.21921905771373,48.42302890555317,0.7184349906031096,0.6058431573552024,0.4397744746283957
SPX/Nas,9473,20.18334051103608,11.426787766062375,35.21258811257866,0.6970336746542806,0.5361553890003167,0.3321017629050987
SPX/Nikkei,9972,18.55690098184561,11.221576196955851,32.7417004317816,0.6881267549137585,0.5323906939430405,0.33574007220216606
