symbol,bar_ticks,horizon,state_id,family,barrier_pips,regime_desc
USDCHF,100,6,oco_first_touch_clean__low_cost_q30_and_high_abs_vel_q70__k2,oco_first_touch_clean,2.0,low_cost_q30_and_high_abs_vel_q70;barrier=2.0
USDCHF,100,6,oco_first_touch_clean__ny_overlap__k2,oco_first_touch_clean,2.0,ny_overlap;barrier=2.0
