symbol,bar_ticks,horizon,state_id,family,barrier_pips,regime_desc
EURUSD,1000,5,oco_first_touch_clean__all__k2,oco_first_touch_clean,2.0,all;barrier=2.0
EURUSD,1000,6,oco_first_touch_clean__all__k2,oco_first_touch_clean,2.0,all;barrier=2.0
