symbol,bar_ticks,horizon,state_id,family,barrier_pips,regime_desc
AUDUSD,100,6,oco_first_touch_clean__high_range_q70__k2,oco_first_touch_clean,2.0,high_range_q70;barrier=2.0
AUDUSD,100,6,oco_first_touch_clean__low_cost_q30__k2,oco_first_touch_clean,2.0,low_cost_q30;barrier=2.0
