iter	Quantile:alpha=0.6
0	14.57021745
1	14.51663226
2	14.46786319
3	14.41795673
4	14.37137877
5	14.3269222
6	14.28722722
7	14.241967
8	14.1998429
9	14.15865117
10	14.12681202
11	14.09339491
12	14.06333238
13	14.03059187
14	14.00230774
15	13.97524688
16	13.95076511
17	13.92504975
18	13.90127905
19	13.87470808
20	13.85514235
21	13.83549261
22	13.81517251
23	13.79441191
24	13.77842835
25	13.76395206
26	13.74698518
27	13.73058626
28	13.71416492
29	13.70088723
30	13.68758534
31	13.67348128
32	13.66049764
33	13.64286806
34	13.62799971
35	13.61430868
36	13.6023123
37	13.59138379
38	13.57867996
39	13.56778362
40	13.55588945
41	13.54717332
42	13.53437353
43	13.52544319
44	13.51581285
45	13.50296469
46	13.49561243
47	13.48841416
48	13.48316207
49	13.47608218
50	13.46826674
51	13.4631772
52	13.45675239
53	13.45046013
54	13.44346603
55	13.43689574
56	13.43328511
57	13.42606742
58	13.41941702
59	13.41416229
60	13.40825454
61	13.40048648
62	13.39561927
63	13.39118891
64	13.38705388
65	13.38388911
66	13.37913642
67	13.37643796
68	13.37223096
69	13.36882526
70	13.36430283
71	13.36054235
72	13.35506309
73	13.35122695
74	13.34494833
75	13.33489038
76	13.33141931
77	13.32387613
78	13.32046413
79	13.3160218
80	13.31247527
81	13.30755506
82	13.30314202
83	13.29881553
84	13.29399154
85	13.28863689
86	13.28336809
87	13.27706673
88	13.2683839
89	13.26457268
90	13.25509133
91	13.2513617
92	13.24623684
93	13.24303246
94	13.24150973
95	13.23680647
96	13.23239052
97	13.22917867
98	13.22596757
99	13.22325059
100	13.21907478
101	13.20820904
102	13.20337447
103	13.19751622
104	13.19603859
105	13.19295878
106	13.18843069
107	13.18237052
108	13.17912369
109	13.17006551
110	13.16832401
111	13.16368541
112	13.16228514
113	13.15917046
114	13.15490522
115	13.15182112
116	13.14672796
117	13.14241628
118	13.13737901
119	13.13293093
120	13.13093481
121	13.12816798
122	13.1250915
123	13.12231745
124	13.1173374
125	13.11471808
126	13.11017836
127	13.10572485
128	13.10435853
129	13.10208832
130	13.09997864
131	13.09676947
132	13.09121799
133	13.08981172
134	13.08614806
135	13.0841143
136	13.08235624
137	13.08101921
138	13.08043666
139	13.07876039
140	13.0776784
141	13.07382045
142	13.07166942
143	13.0701963
144	13.06873691
145	13.06688511
146	13.06316562
147	13.06187825
148	13.0603324
149	13.05898837
150	13.05779065
151	13.05505747
152	13.05165544
153	13.04914378
154	13.04646963
155	13.04514488
156	13.0420276
157	13.0399402
158	13.03852116
159	13.03682394
160	13.03554225
161	13.03410456
162	13.03267613
163	13.02893692
164	13.02651384
165	13.02468488
166	13.02206276
167	13.01870322
168	13.01695459
169	13.01509623
170	13.01022686
171	13.00830311
172	13.00708835
173	13.00614633
174	13.00514358
175	13.00255394
176	13.00005731
177	12.99744455
178	12.99324002
179	12.99173596
180	12.98931605
181	12.9880213
182	12.98586851
183	12.98480582
184	12.98367184
185	12.97749337
186	12.97477379
187	12.97300553
188	12.97156968
189	12.97055733
190	12.96733312
191	12.96614799
192	12.96495196
