iter	Quantile:alpha=0.6
193	12.96419748
194	12.96333303
195	12.96231099
196	12.95889159
197	12.95683832
198	12.95613928
199	12.9548124
200	12.95366312
201	12.95261569
202	12.95059821
203	12.94891871
204	12.94573999
205	12.94448208
206	12.94319277
207	12.94197404
208	12.94052446
209	12.93821894
210	12.93412018
211	12.93068841
212	12.92786617
213	12.92560434
214	12.92191007
215	12.91802552
216	12.91696354
217	12.91608807
218	12.91546629
219	12.91361208
220	12.91103705
221	12.90751331
222	12.90661208
223	12.90565534
224	12.90482656
225	12.90212707
226	12.90126987
227	12.89847517
228	12.89739656
229	12.89489372
230	12.89359443
231	12.89180669
232	12.89092906
233	12.88869282
234	12.88743152
235	12.88684046
236	12.88376487
237	12.88208698
238	12.88126725
239	12.87800213
240	12.87674218
241	12.87362038
242	12.86894538
243	12.86783317
244	12.86724544
245	12.86563189
246	12.86443584
247	12.86356644
248	12.86231633
249	12.86105445
250	12.85972527
251	12.85889542
252	12.85592541
253	12.8548809
254	12.85329146
255	12.85094183
256	12.84936087
257	12.8470329
258	12.84627677
259	12.84545672
260	12.84242096
261	12.840786
262	12.83962754
263	12.83832126
264	12.83607529
265	12.83504508
266	12.83342928
267	12.83226774
268	12.83034193
269	12.82968671
270	12.8286544
271	12.82626359
272	12.82354289
273	12.82004448
274	12.81847007
275	12.81786608
276	12.81689731
277	12.81350575
278	12.81174452
279	12.81049105
280	12.80888608
281	12.80786515
282	12.8050129
283	12.80381131
284	12.80241171
285	12.80119952
286	12.79954347
287	12.79853624
288	12.79734851
289	12.79673975
290	12.79508024
291	12.79393576
292	12.79225456
293	12.78989612
294	12.78772313
295	12.78546813
296	12.7843587
297	12.78278873
298	12.78229499
299	12.78119507
300	12.78054684
301	12.77964225
302	12.77906907
303	12.77708807
304	12.77511703
305	12.77385906
306	12.77272667
307	12.7718893
308	12.77066063
309	12.76942181
310	12.76786352
311	12.76644091
312	12.76524914
313	12.763749
314	12.7623441
315	12.76134584
316	12.76013974
317	12.75847289
318	12.75775546
319	12.75571516
320	12.75480825
321	12.75352073
322	12.75237392
323	12.75087564
324	12.75018938
325	12.74941903
326	12.74832915
327	12.74743134
328	12.74649974
329	12.74444926
330	12.74209944
331	12.73996509
332	12.73584456
333	12.73479516
334	12.7330503
335	12.73191563
336	12.73007466
337	12.72818059
338	12.72687533
339	12.72455694
340	12.72085128
341	12.71987558
342	12.71879847
343	12.71730105
344	12.71652822
345	12.71477101
346	12.71312775
347	12.71245175
348	12.71062409
349	12.70948279
350	12.70902573
351	12.70785771
352	12.70619154
353	12.70436549
354	12.70324443
355	12.69972314
356	12.69854353
357	12.69566798
358	12.69394433
359	12.69302229
360	12.69196119
361	12.69047144
362	12.68958498
363	12.68866135
364	12.68711779
365	12.68605566
366	12.68433193
367	12.67934573
368	12.67861995
369	12.67740636
370	12.67647194
371	12.67112948
372	12.66851942
373	12.6666828
374	12.66458524
375	12.66305429
376	12.66179545
377	12.65923941
378	12.65708322
379	12.65627605
380	12.65429596
381	12.64984587
382	12.64868069
383	12.64684945
384	12.64501521
385	12.64425555
386	12.64307654
387	12.64223721
388	12.64116544
389	12.64023627
390	12.63927128
391	12.63735333
392	12.63546409
393	12.63435107
394	12.63239311
395	12.63094796
396	12.63029387
397	12.62737236
398	12.62614195
399	12.62526989
400	12.62431844
401	12.62236388
402	12.62012287
403	12.61822811
404	12.61642173
405	12.61513203
406	12.61340453
407	12.60865113
408	12.60631598
409	12.60509691
410	12.60350437
411	12.60246953
412	12.60147045
413	12.60009934
414	12.5959785
415	12.59303678
416	12.59166135
417	12.59049003
418	12.58744624
419	12.58650253
420	12.58537029
421	12.58385955
422	12.58073049
423	12.57943782
424	12.57767504
425	12.57582975
426	12.57399628
427	12.57193014
428	12.57082735
429	12.56845107
430	12.56709172
431	12.56485788
432	12.56416555
433	12.56293635
434	12.56101717
435	12.5582561
436	12.55730792
437	12.55624473
438	12.5542474
439	12.55271969
440	12.55009916
441	12.54927977
442	12.54789173
443	12.54692616
444	12.5447685
445	12.54336814
446	12.54187148
447	12.54011568
448	12.53929407
449	12.53789174
450	12.53677466
451	12.53340387
452	12.53243579
453	12.53145349
454	12.53073762
455	12.52891014
456	12.52800286
457	12.5265976
458	12.52507244
459	12.52267197
