variant,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade
baseline,73629,45.847424248597704,4.971698922978719,366061.2200000001,-41525.43000000018,1.1126473671357617,1.1167038862814913,1.5621493690143893
guardrail,37897,56.7986911892762,30.18303480486582,1143846.47,-10150.229999999749,4.05092173228915,4.110018744000764,5.6661044534720375
